ITEM_ID,PRICE,CATEGORY_L1,CATEGORY_L2,PRODUCT_NAME,PRODUCT_DESCRIPTION,GENDER,PROMOTED
6579c22f-be2b-444c-a52b-0116dd82df6c,129.99,accessories,backpack,Adventure-Ready Expedition Backpack,"Embark on your next outdoor journey with our rugged Adventure-Ready Expedition Backpack. This durable beige backpack features a robust harness system with black straps, ensuring comfort and stability during long treks. Multiple compartments and adjustable fasteners make it perfect for organizing your gear on any excursion.",F,nan
2e852905-c6f4-47db-802c-654013571922,149.99,accessories,backpack,Mauve Leather Daypack,"This stylish mauve leather daypack combines elegance with functionality. The soft, pebbled leather exterior features a sleek curved design with gold-toned zipper accents. Perfect for everyday use, it offers ample storage while maintaining a chic, compact silhouette.",F,nan
4ec7ff5c-f70f-4984-b6c4-c7ef37cc0c09,49.99,accessories,backpack,Lacy Crochet Summer Backpack,"Embrace summer vibes with our Lacy Crochet Backpack. This airy, white accessory features an intricate open-weave pattern and a convenient zippered pocket. Perfect for beach days or casual outings, it adds a touch of bohemian chic to any outfit.",F,nan
7977f680-2cf7-457d-8f4d-afa0aa168cb9,89.99,accessories,backpack,Adventure-Ready Rugged Backpack,"Embark on your next journey with our Adventure-Ready Rugged Backpack. Crafted from durable khaki canvas, this spacious pack features multiple pockets and adjustable leather straps for ultimate versatility. Perfect for both urban explorers and outdoor enthusiasts alike.",F,nan
b5649d7c-4651-458d-a07f-912f253784ce,189.99,accessories,backpack,Chic Caramel Leather Backpack,"Elevate your everyday style with our Chic Caramel Leather Backpack. This sophisticated accessory combines fashion and function, featuring a sleek design in a rich caramel hue. The supple leather construction ensures durability while exuding luxury.",F,nan
296d144e-7f86-464b-9c5a-f545257f1700,129.99,accessories,backpack,Urban Explorer Leather Backpack,"Discover the perfect blend of style and functionality with our Urban Explorer Leather Backpack. This sleek black backpack features a classic drawstring closure, multiple pockets for organization, and durable leather construction. Ideal for city adventurers and modern professionals alike.",F,nan
7d3e7f5b-8ac8-49a9-a960-8a24773a8280,129.99,accessories,backpack,Vintage Leather Adventure Backpack,"Embrace the spirit of exploration with our Vintage Leather Adventure Backpack. This rustic brown leather backpack exudes timeless charm, perfectly complementing a casual striped top for a chic, travel-ready look. Its sturdy construction and classic buckle details promise both style and functionality for your next journey.",F,nan
1d3ae532-f790-44ca-a8e8-f55aa9b66526,79.99,accessories,backpack,Plush Velvet Urban Backpack,"Elevate your daily commute with our Plush Velvet Urban Backpack. This luxurious deep purple bag combines style and functionality, featuring a soft velvet exterior and ample storage space. Its sleek design seamlessly transitions from work to weekend adventures.",F,nan
f6cd5dd2-d3ea-4858-844a-04879153e459,149.99,accessories,backpack,Urban Chic Leather Backpack,"Elevate your everyday style with our sleek Urban Chic Leather Backpack. This sophisticated accessory combines fashion and function, featuring a minimalist design with clean lines and a luxurious matte black finish. Perfect for the modern professional or trendsetting student, it offers ample storage and timeless appeal.",F,nan
3491deff-c0fe-4065-abbc-72b507da84b2,29.99,accessories,backpack,Magical Unicorn Kids Backpack,"Enchant your little one's school days with this adorable Magical Unicorn Kids Backpack. Featuring a charming unicorn face design with vibrant purple accents, this backpack is both fun and functional. The soft, plush ears add a whimsical touch, while the roomy interior and mesh side pockets offer plenty of space for books, snacks, and treasures.",F,nan
1a3fa9d4-e320-4873-be58-f3f6af5f99f4,129.99,accessories,backpack,Rustic Charm Leather Backpack,"Embrace adventure with our Rustic Charm Leather Backpack. This terracotta-hued beauty combines style and functionality with its smooth leather finish and unique lace-up front detail. Perfect for the fashion-forward traveler or city explorer, its spacious design and front zip pocket ensure all your essentials are within easy reach.",F,True
da1f2a8f-5372-4102-b357-9e40900ebb08,79.99,accessories,backpack,Vibrant Explorer's Daypack,"Stand out on any adventure with this eye-catching red backpack. Featuring a sleek design with a contrasting black accent, this daypack offers both style and functionality for urban explorers and nature enthusiasts alike. Its spacious compartments and durable construction make it perfect for daily commutes or weekend getaways.",F,True
0c47dade-1ec0-483a-9ab4-1b87604bdaf8,129.99,accessories,backpack,Blush Elegance Crossbody Bag,"Elevate your everyday style with this charming pink leather crossbody bag. Featuring a sleek design with gold-tone hardware, it offers both functionality and fashion. The spacious interior and adjustable strap make it perfect for carrying your essentials in effortless chic.",F,True
f995ec8d-237c-4513-8bfa-9aee210f097c,89.99,accessories,backpack,Rugged Wilderness Explorer Backpack,"Embark on your next adventure with our Rugged Wilderness Explorer Backpack. Crafted from durable olive-green canvas, this pack features multiple pockets, sturdy zippers, and adjustable straps for ultimate comfort. Perfect for hikers, campers, and outdoor enthusiasts seeking a reliable companion for their journeys.",F,nan
